qid,label_a,label_b,reason_a,reason_b,question,golds,adjudicated,class
1832,eligible,eligible,"The passages confirm Bob Geldof played adult Pink in the film, with Kevin McKeon and David Bingham as younger versions, matching the recorded gold answers.","The question clearly asks about the 1982 film adaptation, and the gold answers (Geldof as adult Pink plus the child actors) are correct, with the passages confirming Geldof's casting as Pink.",who played pink in pink floyd the wall,"[""Kevin McKeon as Young Pink"", ""Bob Geldof as Pink"", ""David Bingham as Little Pink"", ""Bob Geldof"", ""David Bingham"", ""Kevin McKeon""]",eligible,eligible
1837,eligible,ambiguous,"Duisburg is confirmed by the passages as an industrial city on both the Rhine and the Rhine-Herne Canal, matching the question and one of the gold answers.","The Rhine–Herne Canal passes through several industrial cities (Duisburg, Oberhausen, Essen, Gelsenkirchen, Herne), so the question does not pinpoint a single entity, and one of the recorded golds (Henrichenburg) is not even a city but a boat-lift district in Waltrop.",industrial city in germany on the rhine herne canal,"[""Henrichenburg"", ""Duisburg""]",eligible,eligible
1842,eligible,ambiguous,"The passages confirm penicillin was made available to the public in the US in 1945 and UK after WWII, which aligns with the gold answers of 1942/after WWII as general public introduction occurred during and after the war years.","The question doesn't specify country or what counts as ""introduced to the public"" (civilian sale vs. wartime availability), and the passages give distinct dates such as US pharmacy sales in March 1945 and UK general public sale, so no single answer is determined.",when was penicillin first introduced to the public,"[""After World War II"", ""1942""]",eligible,eligible
1859,eligible,eligible,"The passages clearly confirm William DeVaughn wrote[passage text redacted]the song, matching the gold answer.","The passages directly state that the soul song was[passage text redacted], matching the gold answer.",who wrote the song be thankful for what you got,"[""William DeVaughn""]",eligible,eligible
1864,eligible,eligible,"The passages give median longevity figures around 10.3-11.3 years, consistent with the gold answer of 10-12 years.",The question is clear and the passages give median longevity figures of[passage text redacted]consistent with the recorded gold range of 10–12 years.,what's the average lifespan of a basset hound,"[""Median 10\u201312 years"", ""10\u201312 years""]",eligible,eligible
1874,eligible,eligible,"The question, though awkwardly phrased as a multiple-choice list, is answerable from the passages which clearly indicate chocolate/cacao originated in Mesoamerica (the Americas), matching the recorded gold answers.","The question is a multiple-choice-style query about chocolate's origin, and the passages clearly support that cacao/chocolate originated in Mesoamerica in the Americas, matching the gold answers.",where did chocolate originate the americas spain asia,"[""Mesoamerica"", ""the Americas"", ""Americas""]",eligible,eligible
1875,eligible,eligible,"The passages confirm Andrew Jackson received 99 electoral votes, the most of any candidate but short of a majority, matching the gold answer.","The question clearly asks who led the 1824 electoral vote without a majority, and the passages confirm Jackson took 99 of[passage text redacted]a plurality short of a majority, matching the gold.",who received the most (but not a majority of) electoral votes in 1824,"[""Andrew Jackson""]",eligible,eligible
1906,eligible,eligible,"The passages consistently confirm there are 538 total[passage text redacted]al votes, matching the gold answer.",The question asks for the total number[passage text redacted]U.S.[passage text redacted]and the passages repeatedly confirm the gold answer of 538.,what is the number of total presidential electoral votes,"[""538""]",eligible,eligible
1908,unanswerable,unanswerable,"The reference passages discuss unrelated Microsoft migration tools (SBFM, SBCM, AvePoint, SDI Manager) but never mention USMT or Windows Easy Transfer, so the gold cannot be verified from this context.","The question is clear and the gold (Windows Easy Transfer as the lightweight alternative to the User State Migration Tool) is correct, but the supplied passages concern unrelated Microsoft small-business and SharePoint migration products and never mention USMT or Windows Easy Transfer.",what tool is available from microsoft as an alternative to the usmt for smaller migrations,"[""Windows Easy Transfer""]",ineligible,unanswerable
1916,eligible,eligible,"The passage explicitly states Ohio State [passage text redacted]in 1912, matching the gold answer.","The passage directly states Ohio State [passage text redacted]in 1912, matching the gold answer, and the question is clear.",when did ohio state join the big 10,"[""1912""]",eligible,eligible
1932,unanswerable,unanswerable,"The passages describe events from season 2 in detail but never state who ultimately won, so the winners cannot be confirmed from this text.","The gold names the two winning contestants (Doll and Hot Wings, with their real names)[passage text redacted] 2, but the provided passages only discuss cast members, spinoff appearances, and mid-season eliminations without ever stating who won.",who won season 2 of real chance of love,"[""Jackie DaFonseca"", ""Kamille Leai"", ""Hot Wings"", ""Doll""]",ineligible,unanswerable
1933,eligible,eligible,"The passages confirm[passage text redacted]Nelson Muntz on The Simpsons, matching the recorded gold answer.","The passages clearly state that[passage text redacted]Nelson Muntz, matching the gold answer given as her full name.",who does the voice of nelson on simpsons,"[""Nancy Jean Cartwright""]",eligible,eligible
1934,eligible,ambiguous,"The question asks about the men's basketball coach, and passages consistently confirm John Calipari held that position, matching the gold answer.","The question doesn't specify men's or[passage text redacted](nor a season), and the passages name both Calipari for the men's team and Kyra Elzy for the women's team, so the intended entity is underdetermined.",who is the coach of university of kentucky basketball,"[""John Calipari"", ""John Vincent Calipari""]",eligible,eligible
1940,unanswerable,stale_gold,"The passages discuss the Lok Sabha Speaker, Rajya Sabha members, and other officials, but none confirm who currently holds the office of Rajya Sabha Chairman (Vice President of India), so the gold cannot be verified from these passages.","The question asks for the current Rajya Sabha chairman, and the gold names Venkaiah Naidu, but the passages reflect a later period (2022+ presidency of Droupadi Murmu) in which Naidu's term as Vice President/Rajya Sabha chairman had ended, so a correct answer from these passages would not match the ",who is the present rajya sabha speaker of india,"[""Venkaiah Naidu""]",ineligible,ineligible_class_disputed
1952,eligible,ambiguous,"The passages support that Haque and Bose developed the[passage text redacted]was[passage text redacted] Sir Edward Henry, matching all three recorded gold answers.","The passages credit both[passage text redacted](Haque, Bose, Henry) and Galton's separate classification scheme as surviving to this day, so the question's phrasing doesn't pin down which[passage text redacted]is meant.",who devised the fingerprint classification still used today in europe and the us,"[""Hem Chandra Bose"", ""Azizul Haque"", ""Sir Edward Henry""]",eligible,eligible
1955,unanswerable,unanswerable,"While interphase is a well-known biology fact, the provided passages discuss cell cycle mechanisms in detail but never state that the cell spends most of its time in interphase, so the gold cannot be verified from these passages.","The question is clear and ""interphase"" is the correct standard answer, but none of the provided passages actually state that cells spend the majority[passage text redacted]interphase.",where does the cell spend most of its time in the cell cycle,"[""Interphase""]",ineligible,unanswerable
1960,ambiguous,ambiguous,"The question is inherently vague about what metric defines the 'most losing team' (total losses, worst win percentage, most winless seasons, etc.), and the passages support multiple different candidate answers depending on interpretation, matching the multiple recorded golds.","""Most losing team"" is underdetermined \u2014 it could mean most all-time losses, worst all-time win percentage,[passage text redacted], or worst single season \u2014 and the two recorded golds reflect different interpretations rather than one retrievable answer.",who is the most losing team in nfl history,"[""Arizona Cardinals"", ""Tampa Bay Buccaneers""]",ineligible,ambiguous
1964,stale_gold,stale_gold,"The passage states 18 book[passage text redacted]which is more recent than the gold answer of 12, making the gold outdated.","The question asks how many books are in the series and the gold of 12 reflects an older count, while the passages state eighteen book[passage text redacted]so a correct answer from these passages would not match.",how many series of diary of a wimpy kid are there,"[""12""]",ineligible,stale_gold
1967,eligible,eligible,"The passages confirm North American release on May 18, 2010 (May 2010 broadly), matching the recorded gold answers.","The question clearly refers to the original[passage text redacted]the passages confirm the North American release date of May 18, 2010, matching the gold answers.",when did red dead redemption 1 come out,"[""May 18, 2010"", ""May 2010""]",eligible,eligible
1969,eligible,eligible,"The passage confirms KNXV channel 15 is the ABC affiliate serving Phoenix, Arizona, matching the gold answer.","The passage directly identifies KNXV channel 15 as the ABC affiliate in Phoenix, matching the gold answer.",what channel is abc on in phoenix arizona,"[""15""]",eligible,eligible
1980,unanswerable,unanswerable,"The passages do not mention Ash vs Evil Dead's third season episode count at all, only unrelated shows' seasons, so the gold cannot be verified from this corpus.","The question clearly asks for the episode count[passage text redacted]'s third season (10 is correct), but none of the supplied passages state the number of episodes in that season, mentioning only unrelated shows and a game update.",how many episodes is ash vs evil dead season 3,"[""10""]",ineligible,unanswerable
1986,eligible,eligible,"The passages confirm[passage text redacted]100-point game remains the NBA[passage text redacted], matching the gold answer.","The passages clearly confirm that Wilt Chamberlain holds the NBA[passage text redacted]with 100 points, matching the gold answer.",who scored the most points in a single game in the nba,"[""Wilt Chamberlain""]",eligible,eligible
1999,eligible,ambiguous,"The passages describe[passage text redacted]as an ongoing cohort study following participants over time, consistent with it being a long-term prospective (cohort) study as stated in the gold answers.","The question asks what ""type of study""[passage text redacted]is, but that admits several equally valid classification axes (prospective, cohort, observational, longitudinal), so no single answer is determined, and the passages only describe it as a long-[passage text redacted] without naming the st",the nurses' health study is an example of what type of study,"[""long-term"", ""prospective"", ""prospective studies""]",eligible,eligible
2003,stale_gold,stale_gold,"The passages show Stephen Curry surpassed Ray Allen's[passage text redacted]record in December 2021, making the gold answer outdated.","The passages show that Stephen Curry surpassed Ray Allen's[passage text redacted]total in December 2021, so the gold answer of Ray Allen is outdated relative to the corpus.",what nba player has scored the most 3 pointers,"[""Ray Allen""]",ineligible,stale_gold
2021,eligible,unanswerable,"The passages confirm Edwards is a[passage text redacted]meaning 'son of Edward' with English origins, and Welsh usage of Edward-derived names is also documented, supporting the multiple gold answers of England, Wales, and Scotland.","The passages only mention Edwards in passing a[passage text redacted]es/Edwardson with English origins and a Welsh-origin Chilean family, so they do not establish the England/Scotland/Wales origin set recorded as gold.",where did the last name edwards come from,"[""England"", ""Scotland"", ""Wales""]",eligible,eligible
2051,eligible,eligible,"The passages confirm India's[passage text redacted]were held in 1951-52, matching the recorded gold answer.","The question clearly asks for the date of India's first post-independence general election, and the passages confirm the 1951–52 election matching the gold answer.",when were the first general elections held in independent india,"[""1951\u201352""]",eligible,eligible
2064,eligible,stale_gold,"The passages support the gold answers, giving the 2016 MSA estimate of 283,869 (rounded/matching 283,846) and noting the[passage text redacted], consistent with both recorded golds.","The gold figures come from 2016 metro estimates, while the passages provide newer 2020/2021 numbers (e.g., about 303,622 for the metro area and roughly 220,959–224,640 for the three cities), so a correct answer drawn from these passages would not match the recorded gold.",what is the population of the tri-cities washington,"[""283,846"", ""over 300,000""]",eligible,eligible
2070,eligible,eligible,"The passages confirm Hank Williams recorded and made popular the[passage text redacted],"" matching the gold answer, even though other artists also covered it.","The passages confirm Hank Williams had the 1949 hit recording of the song, matching the gold, and although others (Louis Armstrong, Sonny Burgess) covered it, Hank Williams is the canonical answer.",who sang my bucket got a hole in it,"[""Hank Williams""]",eligible,eligible
2078,ambiguous,ambiguous,"The question does not specify which king (Rameses played by Yul Brynner or Pharaoh Seti/others), and there are multiple 'king' figures in the film, including Woodrow Strode's character which isn't even a king role clearly, making the intended referent unclear.","The question doesn't specify which version of[passage text redacted]or which king (Pharaoh Seti I vs. Rameses, or an Ethiopian king), and the two recorded golds correspond to different roles/films, so no single answer is determined.",who played the king in the ten commandments,"[""Yul Brynner"", ""Woodrow Strode""]",ineligible,ambiguous
2083,eligible,eligible,"The passages confirm that the 1857 revol[passage text redacted], resulting in a British victory and consolidation of British Crown rule, matching the gold answers.","The question clearly refers to the 1857 Indian Rebellion, and the passages confirm[passage text redacted]British forces with power transferring to the Crown, matching the recorded golds.",what was the result of the revolt of 1857,"[""British victory"", ""Suppression of the revolt""]",eligible,eligible
2088,eligible,eligible,"The passages confirm that the actin-based cytoskeletal filaments are called microfilaments, matching the recorded gold answer.",The question has a single well-defined answer—actin-based cytoskeletal fibers are microfilaments (actin filaments)—and the passages explicitly list microfilaments among the three cytoskeletal fiber types and describe them as actin polymers.,the part of the cytoskeleton made from the protein actin is called,"[""Microfilaments"", ""microfilament""]",eligible,eligible
2092,eligible,ambiguous,"The passage clearly traces the concept and term 'the West' back to[passage text redacted], matching the gold answer.","The question could refer to the geopolitical/cultural concept of ""the West"" (rooted[passage text redacted]), the etymology of the word ""west"" (Indo-European root for evening/sunset), or the American West, and the passages support multiple distinct origins, so the intended sense is underdetermin",where does the term the west come from,"[""the Roman Empire""]",eligible,eligible
2096,unanswerable,unanswerable,"None of the passages actually discuss filming locations for a TV show titled 'The Crossing' matching the gold answer of British Columbia, Canada; the closest content is about unrelated shows or a South African play, so the gold cannot be verified from these passages.","The question refers to the 2018 ABC series The Crossing, whose British Columbia filming location is plausible, but none of the supplied passages mention that show's filming location (they cover unrelated works like a South African play and Crossing Lines).",where's the tv show the crossing filmed,"[""British Columbia, Canada""]",ineligible,unanswerable
2099,eligible,eligible,"The passage confirms 'One Bad Apple' was a hit by the Osmonds in 1970, matching the recorded gold answer.","The question asks who sang[passage text redacted],"" and a passage confirms the Osmonds recorded it in 1970 with producer Rick Hall, matching the gold answer.",who sang one bad apple spoils the bunch,"[""The Osmonds""]",eligible,eligible
2108,stale_gold,stale_gold,"The passages describe a later minor eruptive[passage text redacted]that postdates the gold answer of 25 September 2007, making the gold outdated relative to the source text.","The passages record a later eruptive event at Ruapehu on 13 July 2009, after the 2007 eruption given as gold, so an answer drawn from them would not match.",when was the last time mount ruapehu erupted,"[""25 September 2007""]",ineligible,stale_gold
2109,eligible,eligible,"The passages confirm Banquo is murdered and[passage text redacted]in Macbeth, matching the recorded gold answer.","The passages explicitly state that[passage text redacted]in Macbeth, matching the recorded gold, and the question is well-specified despite Duncan also being murdered (he does not appear as a ghost).",character in macbeth who is murdered and appears as a ghost,"[""Lord Banquo"", ""Banquo""]",eligible,eligible
2115,eligible,eligible,"The passages confirm tha[passage text redacted]defeated the Russian army[passage text redacted]([passage text redacted], Russian withdrawal) before shifting forces back to[passage text redacted]gainst France, matching the gold answer.","The question asks who[passage text redacted]beat in the east before shifting forces west, and the passages confirm Russia's defeat and withdrawal via Brest-Litovsk enabled the transfer of divisions to[passage text redacted]matching the gold.",who did the central powers defeat on the eastern front before concentrating back on france,"[""the Russian army""]",eligible,eligible
2126,ambiguous,stale_gold,"The question asks about ""the Jurassic Park movies"" plural without specifying which films, and there are multiple releases (1993, 1997, 2001, 2015, 2018, 2022) so no single year or set of years can be definitively retrieved as the answer.","The gold list of release years covers only the first five films (1993-2018), while the passages state[passage text redacted]came out in 2022, so an answer drawn from these passages would include a later year not in the gold.",when did the jurassic park movies come out,"[""Jurassic Park (1993)"", ""2001"", ""2015"", ""2018"", ""1993"", ""Jurassic World (2015)"", ""1997""]",ineligible,ineligible_class_disputed
2128,unanswerable,unanswerable,"The passages discuss Destiny/Triumph/Sunshine, Dream, Glory (container ships), Royal-class, and other ship classes but never mention the actual cruise ship Carnival Glory, so the corpus does not confirm it is a Conquest-class ship.","Carnival Glory is indeed a Conquest-class ship, but none of the provided passages mention Carnival Glory or the Conquest class, so the passages cannot settle the question.",what class of ship is the carnival glory,"[""Conquest"", ""Conquest-class cruise ship""]",ineligible,unanswerable
2133,unanswerable,wrong_gold,"The question has no fixed timeframe and the passages discuss various oldest wrestlers (Maiava, Kojika, Minoru Suzuki, sumo wrestlers) without confirming or supporting Dory Funk Jr. as the current[passage text redacted].","The passages identify Kojika (Mitsuo Kojika) as the world's oldest activ[passage text redacted], contradicting the recorded gold of Dory Funk Jr.; the question is also time-dependent with no date given.",who is the oldest wrestler that is still wrestling,"[""Dory Funk Jr.""]",ineligible,ineligible_class_disputed
2134,eligible,eligible,"The passages confirm[passage text redacted]jointly formulated the postulates in 1884, matching the recorded gold answers.","The passages directly state that[passage text redacted]the criteria linking a specific microbe to a disease,[passage text redacted], matching both recorded golds.",who developed a set of postulates to prove that specific microorganisms cause disease,"[""Robert Koch"", ""Friedrich Loeffler""]",eligible,eligible
2135,stale_gold,stale_gold,"The passages show that[passage text redacted]released in 2023, making it the most recent installment rather than Fallout, so the gold answer is outdated.","The passages show a later film,[passage text redacted]s the most recent released installment with an eighth film upcoming, so the gold answer of Fallout is outdated.",what's the name of the last mission impossible movie,"[""Mission: Impossible \u2013 Fallout""]",ineligible,stale_gold
2144,eligible,unanswerable,"The gold list correctly names the cast members who performed the songs themselves for the Walk the Line soundtrack, and this is supported by common knowledge and partially reflected in the passages (e.g.,[passage text redacted]singing 'Jackson').","The gold list of actors who sang in the 2005 film is correct, but the passages only mention Phoenix and Witherspoon recording one song and otherwise discuss unrelated covers, so they don't establish the full cast of singers.",who sang the songs on walk the line,"[""Reese Witherspoon"", ""Tyler Hilton"", ""Waylon Payne"", ""Johnathan Rice"", ""Shooter Jennings"", ""Joaquin Phoenix""]",eligible,eligible
2145,ambiguous,ambiguous,"The question does not specify which Super Bowl or year, and the passages describe multiple different halftime performers across various years, so no single answer can be determined.","The question asks about ""the Super Bowl"" halftime show without specifying a year or edition, and the passages list many different performers across multiple Super Bowls, so no single answer is determined.",who is playing the halftime show for the superbowl,"[""Justin Timberlake""]",ineligible,ambiguous
2146,eligible,eligible,"The passages confirm 'schadenfreude' as the well-known German loanword used in English for pleasure derived from others' misfortune, matching the recorded gold.","The question clearly asks for the well-known German term denoting joy at another's misfortune, the gold ",german word for pleasure from someone else's pain,"[""Schadenfreude""]",eligible,eligible
2167,stale_gold,stale_gold,"The question asks for the 'next' Deadpool movie, but the passages reveal a later film, Deadpool 3, scheduled for May 3, 2024, making the gold answer of May 18, 2018 (Deadpool 2) outdated.","The question asks about the next Deadpool release, and while the gold refers to Deadpool 2's 2018 date, the passages show a later installment, Deadpool 3, scheduled for May 3, 2024, so an answer from these passages would not match the gold.",when is the next deadpool movie being released,"[""May 18, 2018""]",ineligible,stale_gold
2170,wrong_gold,wrong_gold,The passages consistently state that water covers about 71% (sometimes 70.8%)[passage text redacted]not 78% as the recorded gold claims.,Water covers about[passage text redacted]not 78% — the gold appears to confuse the surface-water figure with the water content of the human body.,what percentage of the earth's surface is water,"[""78%"", ""roughly 78%""]",ineligible,wrong_gold
2172,eligible,eligible,"The passages directly confirm that Dáin succeeded Thorin as[passage text redacted]after Thorin's death, matching the gold answer.","The passages directly state that[passage text redacted]d to Thorin's cousin Dáin after Thorin's death, matching the recorded gold answers.",who became king of erebor after thorin dies,"[""D\u00e1in"", ""his cousin D\u00e1in""]",eligible,eligible
2184,unanswerable,wrong_gold,"The passages discuss the formation of Chicano studies associations and programs in various years (1969, 1972, 1973, 1975, 1976, 1977) but do not explicitly state when Chicano studies became major studies programs on college campuses, so the gold dates cannot be clearly verified from the text.","The question asks when Chicano studies became major degree programs on campuses, but the gold answers (""By 1975"", ""1972"") are pulled from passage details about the founding and status of the NACCS scholarly association, not about when such programs were established on campuses.",when did chicano studies become major studies programs on college campuses,"[""By 1975"", ""1972""]",ineligible,ineligible_class_disputed
2211,ambiguous,ambiguous,"The question doesn't specify which 201[passage text redacted]there was only a[passage text redacted]in 2017, won by England, not a men's ODI World Cup that year, and Pakistan actually won the 2017[passage text redacted]), so the intended tournament is unclear and the passages don't confirm Pakistan ","The question says ""world cup in cricket 2017"" without specifying which tournament — [passage text redacted]won by England, while the gold ""Pakistan"" refers to the 2017[passage text redacted]which isn't even a World Cup, so the entity/edition is underdetermined.",who won the world cup in cricket 2017,"[""Pakistan""]",ineligible,ambiguous
2213,unanswerable,wrong_gold,"The passages describe the aqueduct's route, pumping plants, and rivers lik[passage text redacted]feeding the delta, but never explicitly state the Sierra Nevada Mountains as the water's origin.","The passages indicate[passage text redacted]draws water[passage text redacted]–San Joaquin Delta (via[passage text redacted]and[passage text redacted]), fed by[passage text redacted]n[passage text redacted], rather than directly from the Sierra Nevada Mountains, so the recorded gold does n",where does the water from the california aqueduct come from,"[""Sierra Nevada Mountains"", ""the Sierra Nevada Mountains""]",ineligible,ineligible_class_disputed
2218,eligible,eligible,"The passages consistently describe the leader during the Roman Empire as the emperor, matching the gold answer.","The question asks for the title of a political leader in the Roman Empire, and the passages consistently identify the ruler as the emperor (Augustus/princeps), matching the recorded gold of ""emperors"".",a political leader during the roman empire was called,"[""emperors""]",eligible,eligible
2223,unanswerable,unanswerable,"The passages discuss airports, STOLports, and Civil Air Patrol wings but contain no information about Wingstop restaurant locations, so they cannot verify the gold answer.","The question asks about the number of Wingstop restaurant locations in the US, but the retrieved passages concern airports, CAP wings, STOLports and airparks, so they never address the count.",how many wing stops are there in the united states,"[""1,000"", ""more than 1,000""]",ineligible,unanswerable
2226,unanswerable,unanswerable,The passages mention The Alchemyst novel by Michael Scott but do not list the series' book order or confirm that 'The Magician' is the second book.,"The gold correctly names the second volume of Michael Scott's Secrets of the Immortal Nicholas Flamel series, but the provided passages only mention the first book in passing and never list the series' order or the sequel's title.",what is the second book in the alchemyst series,"[""The Magician""]",ineligible,unanswerable
2235,eligible,eligible,"The passages clearly confirm that the atomic bomb dropped by the US on Hiroshima was named ""Little Boy,"" matching the gold answer.","The question clearly asks for the codename of the Hiroshima bomb, and the passages repeatedly confirm it was ""Little Boy,"" matching the gold answer.",what was the name of atom bomb dropped by usa on hiroshima,"[""Little Boy""]",eligible,eligible
2263,eligible,eligible,"The passages confirm the first ISS module (Zarya) launched in November 1998, supporting the gold answer of 1998.","The question asks when the ISS was first launched into space, and the passages confirm assembly began with the Zarya module in November 1998, matching the gold answer.",when did the international space station go into space,"[""1998""]",eligible,eligible
2275,unanswerable,wrong_gold,"The passages describe the Ivy League's formation timeline (1933-1955) but do not state a specific date when Harvard itself became an Ivy League school, so the 1945 gold cannot be verified from this text.","The Ivy League's founding dates cited in the passages are the 1936 presidents' agreement (effective 1955–56) and the earlier 1933–34[passage text redacted], with the commonly cited formal athletic conference date being 1954/1956, so a gold of 1945 does not correspond to any documented date for Harvard ",when did harvard become an ivy league school,"[""1945""]",ineligible,ineligible_class_disputed
2277,wrong_gold,wrong_gold,"The passages clearly attribute the proposal of wave-particle duality for electrons to Louis de Broglie, not Einstein.","The person who proposed that electrons behave as both waves and particles was Louis de Broglie, not Einstein, so the recorded gold is factually incorrect.",who proposed that electrons behave like waves and particles,"[""Einstein""]",ineligible,wrong_gold
2284,eligible,eligible,"The passage confirms that[passage text redacted] fully oxidized in[passage text redacted](via two turns of the Krebs cycle) yields 6 CO2 molecules, matching the gold answer.","[passage text redacted]of one glucose yields 6 CO2 molecules, matching the gold, and the passages support this via the stoichiometry of the reverse photosynthesis equation and the two acetyl-CoA turns of the Krebs cycle.",how many co2 molecules are produced in aerobic respiration,"[""6""]",eligible,eligible
2286,eligible,eligible,"The question asks for[passage text redacted] and what he studied, and the passages consistently confirm[passage text redacted]pea plants and inheritance, matching the recorded gold answers.","The question asks for[passage text redacted] and his subject of study, and the passages clearly identify Gregor Mendel and his work on inheritance in pea plants, matching the recorded gold variants.",who is the father of genetics and what did he study,"[""the common edible pea"", ""Mendel"", ""pea plants"", ""variation in plants"", ""Gregor Mendel""]",eligible,eligible
2295,eligible,ambiguous,"The passage explicitly states[passage text redacted]a[passage text redacted], matching the recorded gold answer.","The passages give two competing answers for the ultimate[passage text redacted] 
content shareholder wealth maximization and[passage text redacted]
content so the question does not determine which sense/framework is intended.",what is the ultimate objective of financial management,"[""Profit maximization""]",eligible,eligible
2297,eligible,eligible,"The passage explicitly states the album[passage text redacted]was released on May 3, 2005, matching the gold answer.","The question clearly refers to Fall Out Boy's album[passage text redacted]and the passages confirm its May 3, 2005 release date matching the gold answer.",when did under the cork tree come out,"[""May 3, 2005""]",eligible,eligible
2306,eligible,eligible,The passages confirm Asuka won the inaugural 2018[passage text redacted]matching the recorded gold answer.,"The question specifies the year (2018), and the passages clearly confirm that Asuka[passage text redacted][passage text redacted]matching the gold answer.",who won the 2018 women's royal rumble match,"[""Asuka""]",eligible,eligible
2310,wrong_gold,wrong_gold,"The passages identify Thomas Barrow as the under-butler, while Carson is the head butler, so the recorded gold answer does not match the question asked.","The under-butler at Downton Abbey is Thomas Barrow, not Carson, who is the butler; the gold answers a different question.",what is the name of the under butler in downton abbey,"[""Charles Carson"", ""Mr Carson""]",ineligible,wrong_gold
2318,unanswerable,unanswerable,"The passages discuss mining in Canada generally but never specifically identify mining (or any industry) as the main industry of the Canadian Shield region, so the gold cannot be verified from this text.","The question about the Canadian Shield's main industry has a sound gold (mining), but the supplied passages discuss Sarnia's petrochemicals, prairie potash, Hudson Bay forestry and general Canadian mining without addressing the Canadian Shield region specifically.",what is the main industry in the canadian shield,"[""mining""]",ineligible,unanswerable
2325,eligible,eligible,"The passages clearly establish fungi as decomposers positioned at the end of the food web/chain, consistent with the recorded gold answers.","The question asks for fungi's position in a food web, and the passages confirm fungi act as decomposers breaking down dead matter at the end of food chains, matching the recorded golds.",where does fungi go on a food web,"[""the end"", ""decomposers"", ""At the end""]",eligible,eligible
2329,eligible,ambiguous,"The passages confirm Amitabh Bachchan[passage text redacted]mo[passage text redacted]wins (4 times), supporting the gold answer.","The question doesn't specify which National Award category (Best Actor, any acting award, or National Awards overall), so the intended winner is underdetermined — the passages support Amitabh Bachchan only for a Filmfare-style Best Actor tally, while Kamal Haasan and others have multiple National Fi",which indian actor has won most national awards,"[""Amitabh Bachchan""]",eligible,eligible
2332,eligible,eligible,The passages confirm malonyl-CoA donates the malonyl group used to extend the acyl chain by two carbons during each cycle of[passage text redacted]supporting the gold answer of chain elongation.,"The passages describe malonyl-CoA (via malonyl-ACP) donating malonate units to the growing acyl chain in the condensation step, which supports the gold answer that its role is chain elongation.",role of malonyl coa in fatty acid synthesis,"[""chain elongation""]",eligible,eligible
2337,eligible,eligible,"The passages confirm Michigan's only NCAA[passage text redacted]was won in 1989, matching the gold answer, and nothing in the passages indicates a later championship.","The passages confirm Michigan's only NCAA basketball title came in 1989, matching the gold, and no later championship is indicated (they lost the 2013 and 2018 finals).",when was the last time michigan basketball won the championship,"[""1989""]",eligible,eligible
2340,unanswerable,unanswerable,"The passages describe winners of many other cycles but never mention Cycle 20 or Jourdan Miller, so the gold cannot be verified from this corpus.","The question specifies cycle 20 and the gold (Jourdan Miller) is correct, but the passages only describe winners of other cycles and never identify the cycle 20 winner.",who wins america's next top model cycle 20,"[""Jourdan Miller""]",ineligible,unanswerable
2349,eligible,eligible,"The passages confirm[passage text redacted]February 21, 2005, matching the recorded gold answers.","The question clearly asks for the original premiere date of the animated series, and the passages confirm it debut[passage text redacted], matching the gold answers.",when did avatar the last airbender first air,"[""February 2005"", ""February 21, 2005"", ""February\u00a021,\u00a02005""]",eligible,eligible
2366,eligible,eligible,"The passages confirm that both Darwin an[passage text redacted][passage text redacted]in 1859, matching the recorded gold answers.","The question clearly asks who proposed evolution as the basis of biological development around 1859, and the passages support both Darwin and Wallace as the joint proposers[passage text redacted], matching the recorded golds.",who proposed evolution in 1859 as the basis of biological development,"[""Alfred Russel Wallace"", ""Charles Darwin""]",eligible,eligible
2373,unanswerable,eligible,"The passages repeatedly reference[passage text redacted]s a 1985 film but never state the specific release date of February 15, 1985, so the exact date cannot be confirmed from these passages alone.","The question clearly refers to the 1985 John Hughes film, and the passages repeatedly confirm its 1985 release, matching the gold answers (the specific February 15 date being a finer-grained form of the same fact).",when did the movie breakfast club come out,"[""February 15, 1985"", ""February\u00a015,\u00a01985"", ""1985""]",eligible,eligible
2379,unanswerable,unanswerable,"The passages discuss related NBA rule history (three-point line, hand-check rules) but never state when zone defense was legalized in the NBA, so the gold cannot be verified from this corpus.","The question is clear and the gold (zone defense legalized for the 2001-02 season) is correct, but the supplied passages only mention 2002 rule changes about hand checking and never state when zone defense was permitted.",when did the nba start playing zone defense,"[""2002"", ""the 2001\u20132002 season""]",ineligible,unanswerable
2391,unanswerable,ambiguous,"The passages discuss Zeus's worship at various places like Olympia and Dodona but do not clearly establish a single city as his specific patron city, so the gold cannot be verified from these references.","[passage text redacted]s chief god across many Greek cities (Olympia, Dodona, Mylasa, Athens, etc.), so asking which single city he was patron of underdetermines the answer, and the gold pair Olympia/Elis reflects only one of many possible sanctuaries.",what city was zeus the patron god of,"[""Olympia"", ""Elis""]",ineligible,ineligible_class_disputed
2393,ambiguous,ambiguous,"The question doesn't specify which Championship (league division) or time period, and both gold answers (Man City, Aston Villa) ar[passage text redacted]that were previously in the Championship at different times, making the intended sense/year underdetermined.","""The Championship"" is unspecified as to which league/season (and the two gold[passage text redacted]Aston Villa, correspond to different seasons of the English second tier), so no single answer is determined.",who is the richest club in the championship,"[""Manchester City"", ""Aston Villa""]",ineligible,ambiguous
